window_start,entry_second,direction,amount,entry_price,btc_at_entry,btc_change_pct,real_poly_up,real_poly_down,actual_outcome,won,pnl,confidence,unanimous,exit_reason,exit_second,judge_1,judge_2,judge_3
2026-03-13T16:25:00+00:00,64.0,DOWN,200.0,0.45,71286.02,-0.03952782523827924,0.555,0.445,UP,False,-102.22222222222221,0.8638984880001762,True,"stop_loss(roi=-51.11% <= -47.43%, hold=90.0s >= 60.0s, conf=0.864, rem=146.0s, btc_entry_move=+0.1555%)",154.0,DOWN,DOWN,DOWN
2026-03-13T17:30:00+00:00,48.0,DOWN,200.0,0.5,71640.27,-0.040316319426677544,0.505,0.495,DOWN,True,198.0,0.6800489799533306,True,,,DOWN,DOWN,DOWN
2026-03-13T17:40:00+00:00,54.0,DOWN,200.0,0.52,71423.41,-0.05606317710058247,0.485,0.515,DOWN,True,182.61538461538458,0.6812849846145035,True,,,DOWN,DOWN,DOWN
2026-03-13T17:45:00+00:00,84.0,DOWN,200.0,0.43,71164.64,-0.04031275959239599,0.58,0.42,DOWN,True,263.1162790697675,0.837771330999545,True,,,DOWN,DOWN,DOWN
2026-03-14T00:15:00+00:00,68.0,DOWN,200.0,0.5,70853.55,-0.0580455505281107,0.505,0.495,UP,False,-180.0,0.6200741082357645,True,"hard_adverse_flush(opposite_ask=0.950 >= 0.930, roi=-90.00% <= -45.00%, rem=6.0s, adverse=False)",294.0,DOWN,DOWN,DOWN
2026-03-14T03:15:00+00:00,83.0,UP,200.0,0.51,71037.46,0.04080851326803686,0.505,0.495,DOWN,False,-200.0,0.5691992199047239,True,,,UP,UP,UP
2026-03-14T03:20:00+00:00,58.0,DOWN,100.0,0.5,70971.49,-0.0466867913124708,0.51,0.49,UP,False,-88.0,0.5240457808491649,True,"hard_adverse_flush(opposite_ask=0.940 >= 0.930, roi=-88.00% <= -45.00%, rem=6.0s, adverse=False)",294.0,DOWN,DOWN,DOWN
2026-03-14T04:20:00+00:00,144.0,DOWN,50.0,0.51,71122.68,-0.03322203347247449,0.5,0.5,DOWN,True,47.5392156862745,0.46579391915786017,True,,,DOWN,DOWN,DOWN
2026-03-14T04:45:00+00:00,57.0,DOWN,200.0,0.51,71252.66,-0.052300794861344736,0.49,0.505,UP,False,-200.0,0.5114529235632823,True,,,DOWN,DOWN,DOWN
2026-03-14T04:55:00+00:00,71.0,DOWN,200.0,0.51,71067.65,-0.0378242051254115,0.495,0.505,DOWN,True,190.156862745098,0.5977713722114792,True,,,DOWN,DOWN,DOWN
2026-03-14T05:05:00+00:00,92.0,DOWN,200.0,0.5,70987.85,-0.04976118245963141,0.505,0.495,UP,False,-160.0,0.7239795777710091,True,"stop_loss(roi=-80.00% <= -47.47%, hold=60.0s >= 60.0s, conf=0.724, rem=148.0s, btc_entry_move=+0.0960%)",152.0,DOWN,DOWN,DOWN
2026-03-14T05:30:00+00:00,86.0,DOWN,200.0,0.5,71082.35,-0.051566955708178944,0.505,0.495,DOWN,True,198.0,0.6144779835042967,True,,,DOWN,DOWN,DOWN
2026-03-14T05:35:00+00:00,78.0,DOWN,200.0,0.5,70934.74,-0.05209114027835789,0.51,0.49,UP,False,-172.0,0.747034386401327,True,"hard_adverse_flush(opposite_ask=0.930 >= 0.930, roi=-86.00% <= -45.00%, rem=30.0s, adverse=False)",270.0,DOWN,DOWN,DOWN
